liquids,color
100-proof vodka,#fbfff8
151-proof rum,#711802
17-year-old j. wray and nephew ltd. rum,#711802
7-up,#00bfff
absinthe,#c6ffa1
absinthe or pastis,#c6ffa1
absinthe substitute,#c6ffa1
acai berry flavored vodka,#fbfff8
african rum,#711802
agave nectar,#ffde55
aged rhum agricole,#ffde56
allspice liqueur (pimento dram),#ffde57
almond extract,#ffebcd
almond or orgeat syrup,#ffebcd
amaretto,#d77924
amaretto di saronno,#d77925
amaro,#d77926
amaro nonino,#d77927
amer picon or torani amer,#d77928
anejo tequila,#fffeda
angostura bitters,#f86a0c
anis,#f86a0c
anisette,#f86a0c
aperol,#ff2455
apple brandy,#ff0000
apple cider,#ff0000
apple flavored brandy,#ff0000
apple juice,#ff0000
apple schnapps,#ff0000
applejack,#ff0000
apricot flavored brandy,#ff0001
b & b,#ff0002
bacardi rum,#711802
balsamic vinegar,#711803
batavia arrack or light rum,#eedfcc
benedictine,#eedfcc
bitter lemon soda,#eedfcc
bitters,#eedfcc
black cherry juice,#f5deb3
black cherry flavored vodka,#fbfff8
black raspberry liqueur,#fbfff9
blackberry liqueur,#44006a
blackberry flavored brandy,#44006a
blanco tequila,#fffeda
blended scotch whiskey,#cc7123
blended whiskey,#cc7123
blood orange juice,#ff4500
blue curacao,#ff4501
bourbon,#ff4502
bourbon or rye whiskey,#cc7123
bourbon whiskey,#cc7123
brandy,#efb026
cachaca,#fff09c
calvados,#efdc02
apple brandy or applejack,#ff0000
campari,#e30004
canadian whisky,#f6c62b
carbonated water,#7fffd4
champagne,#fff7b0
cherry heering,#fff7b1
cherry vodka,#fbfff8
cherry  flavored brandy,#fbfff9
chilled champagne,#00ced1
chilled sparkling wine or champagne,#00ced1
chilled stout,#00ced2
citrus flavored vodka,#fbfff8
clam juice,#ffef83
claret,#ffef84
club soda,#ffef85
coconut milk,#ffef86
coconut rum,#cdc8b1
coconut flavored rum,#cdc8b1
coffee liqueur,#59290d
coffee flavored brandy,#cd853f
coffee flavored liqueur,#cd853f
cognac,#e67c1c
cola,#622700
cold beef bouillon,#622701
cold brewed coffee,#cd853f
cold brewed espresso coffee,#cd853f
cold water,#7fffd4
concord grape juice,#f5deb3
cranberry juice,#f1251f
cream of coconut,#f1251f
cream sherry,#f1251f
crema di limoncello,#deff62
creme de banana,#deff63
creme de cacao,#deff64
creme de cacao (brown),#71311b
creme de cacao (white),#fdfbfb
creme de cassis,#91001f
creme de menthe (white),#deffe0
creme de noyaux,#deffe1
creme de violette,#deffe2
creme yvette,#deffe3
crushed ice,#deffe4
crushed pineapple,"#ff4500	"
curacao,"#ff4500	"
cynar,"#ff4500	"
danish cherry wine,"#ff4500	"
dark creme de cacao,"#ff4500	"
dark rum,#711802
demerara syrup,#711803
desmond & duff scotch whisky,#f6c62b
dry gin,#f6c62b
dry sherry,#f6c62b
dry vermouth,#e9ffe8
dubonnet,#e9ffe9
each cranberry juice and orange juice,#ff4500
each orange juice and sweet sherry,#ff4500
elderflower liqueur,#ff4501
fernet-branca,#ff4502
five star brandy,#ff4503
forbidden fruit,#ff4504
fresh carrot juice,#ff4500
fresh grapefruit juice,#f5deb3
fresh lemon juice,#deff62
fresh lime juice,#deff62
fresh orange juice,#ff4500
galliano,#ffdf1a
gin,#e7fff1
gin & ginger ale,#e7fff2
ginger ale,#fff0a2
ginger ale or soda water,#7fffd4
ginger beer,#e6bd40
ginger liqueur,#e6bd41
gingerbread liqueur,#e6bd42
gold rum,#ffd900
grand marnier,#eaa600
grape juice,#f5deb3
grapefruit bitters,#f5deb3
grapefruit juice,#fd7c5c
grapefruit flavored vodka,#fbfff8
green chartreuse,#fbfff9
green creme de menthe,#fbfff9
grenadine,#e24138
half-and-half,#e24138
heavy cream,#e24138
hennessy v.s cognac,#e24138
honey,#ffe200
honey syrup,#ffe200
hot red pepper sauce,#ffe200
hot shot tropical fruit liqueur,#ffe200
hot tea,#ffe200
imported rum,#ffd900
irish cream liqueur,#ffd900
irish whiskey,#f6c62b
jalapeno hot pepper sauce,#f6c62b
jamaica rum,#eedfcc
kirschwasser,#eedfcc
kummel,#eedfcc
lemon juice,#fff953
lemon or lime juice,#deff62
lemon flavored vodka,#fbfff8
lemon-lime soda,#deff62
light cream,#deff62
light cream (if desired),#deff62
light rum,#eedfcc
light sweet cream,#eedfcc
light vermouth,#eedfcc
lillet blanc,#eedfcc
lillet rouge,#eedfcc
lime juice,#deff62
lime liqueur,#fbfff8
lime vodka,#fbfff8
limoncello,"#ffe4e1	"
madeira,"#ffe4e1	"
mandarine napoleon liqueur,"#ffe4e1	"
mango nectar,#ffd700
mango flavored vodka,#fbfff8
maple syrup,#fbfff8
maraschino liqueur,#fbfff8
margarita mix,#fbfff8
melon liqueur,#fbfff8
mezcal,#fbfff8
milk,#fbfff8
mint syrup,#fbfff8
mint flavored gin,#fbfff8
mole bitters,#fbfff8
muscatel wine,#fbfff8
old kentucky tavern bourbon whiskey,#f6c62b
old thompson blended whiskey,#f6c62b
olive brine,#f6c62b
orange bitters,#fe9b06
orange bitters (if desired),#ff4500
orange blossom water,#ff4500
orange curacao,#ff4500
orange flavored gin,#ff4500
orange juice,#ffbc00
orange marmalade,#ff4500
orange flavored vodka,#fbfff8
orgeat or almond syrup,#ffebcd
orgeat syrup,#fcfff6
palo cortado or oloroso sherry,#fcfff6
passion fruit juice,#deff62
passion fruit syrup,#deff62
peach liqueur,#deff62
peach schnapps,#ffecc6
peach flavored brandy,#ffecc6
peychauds bitters,#ffecc6
pineapple juice,#ffef83
pineapple or grapefruit juice,"#ff4500	"
pomegranate juice,#cd5c5c
pomegranate molasses,#cd5c5c
port,#cd5c5c
ramazzotti amaro,#cd5c5c
raspberry ice cream,#cd5c5c
raspberry juice,#cd5c5c
raspberry syrup,#fc214f
raspberry yogurt,#fc214f
raspberry flavored liqueur,#fc214f
reposado tequila,#fffeda
rock and rye,#fffeda
root beer,#f5deb3
rose water,"#ffe4e1	"
roses lime juice,"#ffe4e1	"
rum,#eedfcc
rye or bourbon whiskey,#f6c62b
rye whiskey,#dc9f17
sake,#dc9f17
scotch,#e5a20d
scotch whiskey,#dc9f17
simple syrup,#fffab1
single-malt scotch whisky,#dc9f17
sloe gin,#dc9f17
smoky scotch whisky,#dc9f17
soda water,#e3feff
sour mix,#e3feff
sparkling wine,#e3feff
straight rye whiskey,#dc9f17
strawberry schnapps,#dc9f17
strega,#dc9f17
sugar syrup,#fdffe8
swedish punch,#fdffe8
sweet cream,#fdffe8
sweet pickle brine,#fdffe8
sweet sherry,#fdffe8
sweet vermouth,#fdffe8
tanqueray gin,#fdffe8
tawny port,#fdffe8
tennessee whiskey,#dc9f17
tequila,#fffeda
tomato juice,#ff3b00
triple sec,#fefff3
unsweetened grape juice,#f5deb3
v8 cocktail juice,#ffff00
vanilla ice cream,#ffff00
vanilla liqueur,#ffff00
vanilla syrup,#ffff00
vermouth,#ffff00
vinegar,#ffff00
vodka,#fbfff8
water,#d9fbff
whiskey barrel bitters,#dc9f17
white chocolate liqueur,#deffe0
white creme de cacao,#deffe0
white creme de menthe,#deffe0
white curacao,#deffe0
white port wine,#deffe0
wild cherry flavored brandy,#deffe0
worcestershire sauce,#96291a
yellow chartreuse,#ffd700
amontillado sherry,#ffd700
apricot nectar,#ffd700
aquavit,#ffd700
armagnac,#ffd700
becherovka (czech digestif),#ffd700
burgundy,#deb887
cherry liqueur,#ff0038
chile syrup,#ff0038
chilled beer or ale,#f5deb3
chilled rhine wine or sauterne,#f5deb3
cider,#f5deb3
cinnamon schnapps,#f5deb3
coconut liqueur,#f5deb3
cold brewed black tea,#f5deb3
cold brewed chai tea,#f5deb3
cold brewed green tea,#f5deb3
collins mix,#f5deb3
creme de menthe,#f5deb3
creme de peche,#f5deb3
creme fraiche,#f5deb3
fresh celery juice,#7cfc00
guava puree,#7cfc00
hard cider,#7cfc00
hot black coffee,#cd853f
white whiskey,#dc9f17
dill pickle brine,#dc9f17
georgia moon corn whiskey,#dc9f17
grapefruit flavored soda,#f5deb3
grapefruit marmalade,#f5deb3
grapefruit soda,#f5deb3
tonic,#f5deb3
tropical fruit schnapps,#f5deb3
lychee liqueur,#f5deb3
mango juice,#ffff00
manzanilla sherry,#ffff00
mountain dew,#00bfff
oloroso sherry,#00bfff
pastis,#00bfff
pear liqueur,#00bfff
pedro ximenez sherry,#00bfff
iced tea,#00bfff
lavender syrup,#00bfff
pomegranate syrup,#00bfff
red wine,#00bfff
rhubarb syrup,#00bfff
sambuca,#00bfff
drambuie,#ea951f
falernum,#ea951f
pisco,#dfffc6
straight rye whisky,#dc9f17
pimms cup,#dc9f17
punt e mes,#dc9f17
